"ID" "CITY" "STATE" "ZIP" "Q050" "Q051" "Q052" "Q053" "Q054" "Q055" "Q056" "Q057" "Q058" "Q059" "Q060" "Q061" "Q062" "Q063" "Q064" "Q065" "Q066" "Q067" "Q068" "Q069" "Q070" "Q071" "Q072" "Q073" "Q074" "Q075" "Q076" "Q077" "Q078" "Q079" "Q080" "Q081" "Q082" "Q083" "Q084" "Q085" "Q086" "Q087" "Q088" "Q089" "Q090" "Q091" "Q092" "Q093" "Q094" "Q095" "Q096" "Q097" "Q098" "Q099" "Q100" "Q101" "Q102" "Q103" "Q104" "Q105" "Q106" "Q107" "Q109" "Q110" "Q111" "Q115" "Q117" "Q118" "Q119" "Q120" "Q121" "lat" "long"
57 "NorthWilkesboro" "NC" "28659" 8 2 1 1 2 2 1 1 2 20 8 4 2 1 1 1 5 5 3 6 7 3 1 6 4 6 4 1 3 1 3 1 2 3 2 6 2 1 1 4 1 2 1 2 4 6 1 1 1 2 3 2 1 4 1 5 2 3 1 6 2 1 1 7 1 2 4 36.169604 -81.116158
58 "SantaMaria" "CA" "93455" 8 3 1 1 1 1 1 2 13 1 7 7 2 1 1 1 8 1 3 6 2 5 1 11 1 1 1 1 1 9 8 1 2 7 2 5 2 1 6 1 3 2 3 2 3 6 5 5 1 1 4 2 1 5 4 1 1 3 4 8 2 1 4 6 1 2 1 34.87455 -120.428067
59 "Heyworth" "IL" "61745" 4 1 1 2 2 2 1 2 3 15 5 4 2 1 1 3 5 1 3 3 3 3 1 6 12 1 4 1 2 1 8 1 2 5 1 5 2 1 1 1 2 2 1 2 4 5 3 2 1 2 1 3 5 4 1 2 3 1 1 3 2 1 5 6 3 2 2 40.32122 -88.974423
60 "" "CA" "95050" 7 2 3 2 2 2 2 2 2 20 8 6 2 1 10 2 2 1 3 3 6 3 1 10 1 3 7 4 3 9 8 1 16 7 6 1 2 1 7 3 4 2 3 2 3 6 5 5 1 1 4 2 0 3 5 1 1 3 1 8 2 1 1 7 1 5 1 37.347791 -121.951317
61 "Kinston" "NC" "28501" 1 1 1 2 1 2 1 2 3 3 8 3 9 1 1 3 2 1 3 3 4 2 1 6 4 1 4 1 1 1 3 1 2 3 4 5 2 1 2 1 2 1 0 2 2 0 1 1 1 1 1 2 5 4 1 0 2 3 2 0 2 1 1 6 1 2 1 35.260895 -77.564692
62 "NorthLittleRock" "AR" "72118" 1 2 1 2 2 2 2 2 2 20 8 6 2 1 1 1 5 1 4 6 7 5 5 6 4 6 4 1 2 2 8 1 5 5 6 6 3 1 4 1 2 2 3 2 2 1 3 1 1 3 4 2 10 4 1 3 2 2 2 8 2 4 1 6 2 2 1 34.813269 -92.302297
63 "Sparkman" "AR" "71763" 1 2 2 2 3 3 3 2 4 20 8 6 2 1 1 2 1 5 3 4 2 2 5 1 4 1 4 1 2 2 3 1 2 4 2 5 2 1 1 1 1 3 3 2 2 1 1 1 1 2 3 2 5 3 4 3 2 9 2 8 2 2 2 6 2 2 6 33.91855 -92.804845
64 "NewOrleans" "LA" "70124" 1 1 1 1 2 2 1 1 2 16 8 5 6 1 5 1 1 1 7 6 7 5 1 6 2 1 4 0 1 1 3 3 2 3 4 6 1 2 4 3 1 2 3 2 1 6 3 2 1 2 1 2 1 3 1 3 2 3 1 8 1 1 1 7 1 2 1 30.006003 -90.10947
65 "CrownPoint" "IN" "46307" 4 1 3 2 2 2 1 1 3 20 3 1 2 1 1 1 1 1 7 4 3 3 1 3 4 3 1 1 3 1 8 1 2 5 1 2 3 2 7 1 1 2 3 2 1 5 3 5 3 2 1 2 1 4 1 2 1 5 1 8 1 1 1 6 3 2 1 41.418873 -87.342986
66 "erie" "PA" "16506" 7 1 3 2 2 2 1 1 2 3 8 1 2 1 1 3 2 1 7 4 6 3 1 1 3 1 1 1 2 1 1 1 8 5 1 5 2 1 4 3 2 2 3 2 1 6 2 2 1 2 4 3 3 4 1 1 1 3 1 8 1 1 1 8 1 2 1 42.072606 -80.14541
67 "RockIsland" "IL" "61201" 4 1 1 2 2 1 2 2 3 1 0 1 2 1 1 1 5 1 3 3 2 2 1 6 5 3 1 1 2 1 7 1 2 5 4 0 1 1 4 1 1 3 0 2 4 5 1 5 1 1 1 2 1 4 1 2 1 2 2 8 2 1 1 6 2 1 1 41.4903 -90.569565
68 "Davenport" "IA" "52803" 7 2 1 2 2 2 1 1 3 20 5 1 2 1 1 1 1 1 3 3 6 2 1 3 13 1 1 1 1 1 8 1 14 5 3 2 1 1 1 1 1 1 0 2 1 1 0 2 1 1 1 2 1 4 1 2 1 0 2 8 3 0 0 0 0 0 0 41.538582 -90.562237
69 "Nashua" "NH" "03060" 7 2 1 2 2 2 1 1 3 20 5 1 2 1 1 1 1 1 3 3 6 2 1 3 13 1 1 1 1 1 8 1 14 5 3 2 1 1 1 1 1 1 0 2 1 1 0 2 1 1 1 2 1 4 1 2 1 0 2 8 3 0 0 0 0 0 0 42.748888 -71.464926
70 "Nashua" "NH" "03060" 7 2 2 2 2 2 2 2 2 20 8 7 1 0 11 2 2 1 7 6 7 5 1 1 13 8 1 1 2 10 8 1 2 1 1 1 1 2 6 2 1 2 3 2 1 6 4 6 1 6 4 2 1 5 6 10 3 3 1 6 2 1 6 7 1 2 3 42.748888 -71.464926
71 "lanark" "IL" "61046" 4 1 3 2 2 3 1 1 3 20 8 7 2 1 1 3 1 1 7 4 1 0 1 6 2 1 1 1 1 1 8 1 11 5 2 5 3 1 4 1 3 2 2 2 3 5 4 2 2 2 4 2 1 4 2 1 1 9 1 8 3 1 1 6 2 2 2 42.111421 -89.824365
72 "Rockport" "TX" "78382" 8 2 1 2 2 2 2 2 2 16 2 3 2 1 1 1 1 1 3 6 3 2 6 6 4 6 4 1 1 9 8 1 2 5 1 2 3 1 4 1 1 3 3 2 1 1 5 1 2 3 1 2 1 4 1 3 2 3 2 8 2 1 1 4 1 2 1 28.047744 -97.048186
73 "Moroni" "UT" "84647" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 39.545778 -111.437986
74 "SanJuanCapistrano" "CA" "92675" 7 2 2 2 2 2 2 2 3 21 8 4 2 1 1 3 2 1 3 6 6 5 1 1 1 1 1 4 1 9 8 1 12 7 6 2 2 1 4 4 1 3 3 2 3 0 5 2 1 8 4 2 3 3 1 1 1 9 1 8 3 1 1 7 1 2 1 33.500843 -117.658661
75 "Pittsford" "NY" "14534" 4 2 2 2 2 2 2 2 13 3 9 7 1 1 1 3 2 1 1 1 7 5 1 1 3 1 1 1 3 5 3 1 4 5 4 6 2 2 7 2 4 2 3 2 3 6 5 6 1 2 4 2 1 4 6 0 8 5 1 3 2 1 3 8 3 2 1 43.071131 -77.511817
76 "Furlong" "PA" "18925" 4 2 2 2 2 2 2 2 13 3 9 7 1 1 1 3 2 1 1 1 7 5 1 1 3 1 1 1 3 5 3 1 4 5 4 6 2 2 7 2 4 2 3 2 3 6 5 6 1 2 4 2 1 4 6 0 8 5 1 3 2 1 3 8 3 2 1 40.282168 -75.062831
77 "Clinton" "IA" "52732" 7 1 2 2 2 2 1 2 3 20 8 7 2 1 1 1 7 1 7 4 6 3 1 6 1 8 1 1 1 1 8 1 8 7 2 5 3 3 4 3 1 2 3 2 1 1 4 1 1 1 1 2 10 3 1 2 1 3 1 8 2 1 1 7 1 2 3 41.861633 -90.215391
78 "UnionCity" "MI" "49094" 4 1 1 2 2 2 1 1 3 5 8 7 2 1 1 3 2 1 7 4 3 3 1 6 12 1 1 1 3 1 9 1 2 5 4 4 2 2 7 3 2 2 3 2 1 1 1 5 1 1 4 2 1 4 2 2 1 4 1 6 3 1 4 7 3 1 1 42.06137 -85.119716
79 "Toulon" "IL" "61483" 7 2 2 2 2 2 2 2 3 20 8 6 2 1 1 1 5 1 7 4 3 3 1 6 12 1 1 1 1 1 8 1 15 5 6 2 3 1 7 1 2 1 3 2 1 5 2 2 5 3 5 2 1 4 1 2 1 9 2 8 2 1 1 7 2 1 6 41.09638 -89.866495
80 "Alloway" "NJ" "08079" 4 2 2 2 2 2 1 1 3 1 5 4 2 1 1 1 1 1 7 6 7 5 1 1 1 1 4 1 3 9 1 3 2 7 3 4 2 1 1 3 1 2 3 2 4 1 3 1 1 1 4 2 1 4 1 1 1 3 1 3 3 1 3 8 1 1 1 39.549912 -75.439434
